iter	Passed	Remaining
845	806388	623378
846	807349	622431
847	808274	621456
848	809154	620447
849	810113	619498
850	811075	618552
851	812026	617597
852	813008	616666
853	813954	615707
854	814926	614768
855	815935	613858
856	816863	612886
857	817826	611940
858	818720	610942
859	819740	610039
860	820906	609244
861	821953	608360
862	823010	607483
863	823951	606520
864	825033	605660
865	826067	604765
866	827132	603892
867	828099	602947
868	829006	601959
869	829925	600980
870	830871	600020
871	831798	599047
872	832896	598197
873	833809	597213
874	834730	596236
875	835689	595285
876	836607	594306
877	837591	593373
878	838520	592402
879	839475	591448
880	840636	590640
881	841665	589738
882	842597	588768
883	843737	587943
884	844694	586990
885	845681	586058
886	846678	585133
887	847780	584281
888	848702	583304
889	849663	582353
890	850600	581386
891	851565	580439
892	852427	579421
893	853403	578481
894	854371	577536
895	855438	576657
896	856409	575713
897	857510	574856
898	858393	573853
899	859434	572956
900	860471	572055
901	861474	571132
902	862458	570196
903	863358	569205
904	864474	568355
905	865386	567372
906	866413	566464
907	867356	565500
908	868456	564640
909	869420	563690
910	870536	562838
911	871441	561850
912	872598	561024
913	873597	560096
914	874637	559194
915	875652	558276
916	876587	557307
917	877669	556430
918	878567	555438
919	879491	554462
920	880457	553512
921	881416	552558
922	882567	551724
923	883541	550779
924	884506	549828
925	885442	548859
926	886471	547948
927	887543	547063
928	888449	546076
929	889390	545110
930	890337	544148
931	891202	543136
932	892227	542221
933	893264	541314
934	894222	540358
935	895280	539463
936	896294	538542
937	897270	537597
938	898201	536625
939	899186	535685
940	900056	534677
941	901071	533756
942	902097	532840
943	903073	531895
944	904034	530940
945	905015	529998
946	905905	529002
947	906836	528031
948	907917	527147
949	908916	526214
950	909903	525275
951	910772	524268
952	911918	523419
953	912911	522483
954	913991	521597
955	914934	520632
956	915999	519736
957	916908	518751
958	917871	517797
959	918841	516848
960	919884	515939
961	920807	514962
962	921753	513999
963	922685	513028
964	923652	512076
965	924703	511171
966	925634	510199
967	926560	509225
968	927561	508292
969	928481	507314
970	929547	506416
971	930492	505452
972	931582	504567
973	932640	503664
974	933581	502697
975	934537	501739
976	935629	500853
977	936620	499914
978	937587	498961
979	938655	498061
980	939581	497087
981	940658	496192
982	941627	495240
983	942590	494285
984	943649	493380
985	944538	492386
986	945626	491495
987	946639	490566
988	947581	489599
989	948588	488666
990	949623	487747
991	950583	486790
992	951520	485821
993	952560	484904
994	953540	483957
995	954694	483098
996	955653	482140
997	956657	481204
998	957661	480268
999	958634	479317
1000	959604	478364
1001	960601	477424
1002	961658	476514
1003	962626	475560
1004	963585	474601
1005	964492	473617
1006	965450	472658
1007	966405	471697
1008	967560	470834
1009	968580	469905
1010	969576	468964
1011	970729	468099
1012	971734	467161
1013	972670	466191
1014	973642	465238
1015	974629	464291
1016	975623	463349
1017	976576	462386
1018	977468	461396
1019	978424	460435
1020	979406	459486
1021	980427	458556
1022	981501	457650
1023	982489	456704
1024	983516	455775
1025	984440	454800
1026	985371	453827
1027	986496	452943
1028	987415	451965
1029	988327	450984
1030	989475	450110
1031	990383	449127
1032	991288	448142
1033	992299	447206
1034	993251	446243
1035	994250	445301
1036	995178	444327
1037	996107	443354
1038	997144	442428
1039	998113	441473
1040	999025	440492
1041	1000028	439551
1042	1000966	438582
1043	1002126	437710
1044	1003063	436740
1045	1004028	435783
1046	1005059	434853
1047	1006121	433937
1048	1007014	432949
1049	1007941	431974
1050	1008908	431018
1051	1009904	430073
1052	1010914	429134
1053	1011894	428183
1054	1012850	427221
1055	1013834	426271
1056	1014911	425360
1057	1015998	424453
1058	1017033	423523
1059	1017981	422558
1060	1019021	421630
1061	1020069	420706
1062	1021132	419788
1063	1022265	418898
1064	1023396	418006
1065	1024415	417069
1066	1025447	416137
1067	1026640	415270
1068	1027665	414334
1069	1028593	413359
1070	1029594	412414
1071	1030565	411457
1072	1031547	410504
1073	1032538	409554
1074	1033530	408605
1075	1034499	407646
1076	1035449	406680
1077	1036446	405733
1078	1037357	404752
1079	1038285	403777
1080	1039276	402827
1081	1040274	401880
1082	1041278	400935
1083	1042319	400004
1084	1043301	399050
1085	1044239	398080
1086	1045252	397138
1087	1046214	396176
1088	1047149	395205
1089	1048068	394227
1090	1049069	393280
1091	1050038	392321
1092	1051061	391383
1093	1052057	390434
1094	1053035	389478
1095	1054023	388526
1096	1055031	387582
1097	1055960	386608
1098	1056932	385650
1099	1057860	384676
1100	1058776	383698
1101	1059829	382769
1102	1060819	381817
1103	1061680	380820
1104	1062610	379847
1105	1063452	378842
1106	1064456	377896
1107	1065480	376957
1108	1066429	375990
1109	1067341	375011
1110	1068331	374060
1111	1069278	373093
1112	1070219	372124
1113	1071151	371152
1114	1072098	370186
1115	1073031	369215
1116	1073924	368230
1117	1074872	367264
1118	1075878	366317
1119	1076861	365363
1120	1077853	364412
1121	1078941	363493
1122	1079946	362546
1123	1081135	361660
1124	1082070	360690
1125	1083102	359751
1126	1084040	358781
1127	1085202	357885
1128	1086184	356930
1129	1087119	355959
1130	1088045	354985
1131	1089028	354030
1132	1089945	353053
1133	1091055	352139
1134	1092029	351181
1135	1093165	350275
1136	1094100	349303
1137	1095265	348406
1138	1096220	347441
1139	1097212	346488
1140	1098184	345528
1141	1099209	344585
1142	1100159	343619
1143	1101308	342714
1144	1102275	341753
1145	1103202	340779
1146	1104325	339866
1147	1105301	338907
1148	1106319	337961
1149	1107297	337003
1150	1108438	336094
1151	1109425	335138
1152	1110311	334152
1153	1111305	333199
1154	1112304	332246
1155	1113354	331309
1156	1114318	330346
1157	1115334	329399
1158	1116275	328429
1159	1117257	327472
1160	1118272	326524
1161	1119238	325561
1162	1120228	324606
1163	1121206	323647
1164	1122084	322659
1165	1123082	321706
1166	1124020	320735
1167	1125018	319782
1168	1125943	318808
1169	1126949	317857
1170	1127863	316880
1171	1128836	315920
1172	1129868	314976
1173	1130800	314004
1174	1131730	313031
1175	1132659	312059
1176	1133706	311119
1177	1134705	310165
1178	1135704	309212
1179	1136594	308228
1180	1137577	307271
1181	1138548	306310
1182	1139563	305360
1183	1140541	304401
1184	1141692	303487
1185	1142604	302510
1186	1143478	301523
1187	1144534	300584
1188	1145524	299628
1189	1146512	298671
1190	1147422	297694
1191	1148364	296724
1192	1149337	295764
1193	1150356	294814
1194	1151337	293856
1195	1152286	292888
1196	1153223	291918
1197	1154120	290938
1198	1155045	289965
1199	1155987	288996
1200	1156893	288019
1201	1157798	287041
1202	1158832	286095
1203	1159804	285134
1204	1160822	284184
1205	1161783	283220
1206	1162726	282252
1207	1163666	281283
1208	1164584	280309
1209	1165526	279341
1210	1166474	278374
1211	1167444	277412
1212	1168468	276463
1213	1169406	275494
1214	1170453	274550
1215	1171449	273595
1216	1172413	272631
1217	1173309	271652
1218	1174292	270694
1219	1175350	269752
1220	1176295	268784
1221	1177243	267818
1222	1178233	266860
1223	1179242	265907
1224	1180204	264943
1225	1181160	263978
1226	1182099	263009
1227	1183047	262042
1228	1184191	261119
1229	1185110	260146
1230	1186196	259209
1231	1187175	258249
1232	1188144	257286
1233	1189102	256322
1234	1190098	255365
1235	1190998	254387
1236	1191920	253415
1237	1192951	252466
1238	1193937	251507
1239	1194938	250551
1240	1195932	249594
1241	1196972	248646
1242	1197916	247678
1243	1198854	246709
1244	1199860	245754
1245	1200887	244803
1246	1201926	243855
1247	1203028	242919
1248	1203990	241954
1249	1204940	240988
1250	1205942	240031
1251	1206816	239049
1252	1207774	238084
1253	1208748	237122
1254	1209738	236164
1255	1210644	235188
1256	1211631	234229
1257	1212611	233268
1258	1213536	232297
1259	1214534	231339
1260	1215504	230377
1261	1216464	229412
1262	1217415	228446
1263	1218393	227484
1264	1219450	226538
1265	1220404	225572
1266	1221335	224602
1267	1222292	223637
1268	1223248	222671
1269	1224339	221730
1270	1225258	220758
1271	1226228	219795
1272	1227191	218831
1273	1228279	217889
1274	1229208	216919
1275	1230197	215959
1276	1231160	214995
1277	1232078	214022
1278	1233032	213057
1279	1233958	212086
1280	1235013	211138
1281	1235922	210164
1282	1236891	209201
1283	1237986	208259
1284	1238988	207301
1285	1239922	206332
1286	1240877	205366
1287	1241854	204404
1288	1242853	203446
1289	1243884	202492
1290	1244895	201536
1291	1245830	200567
1292	1246862	199613
1293	1247863	198655
1294	1248877	197698
1295	1249810	196729
1296	1250746	195760
1297	1251666	194789
1298	1252674	193831
1299	1253672	192872
1300	1254657	191911
1301	1255637	190949
1302	1256663	189994
1303	1257563	189020
1304	1258567	188061
1305	1259530	187097
1306	1260441	186124
1307	1261516	185176
1308	1262513	184217
1309	1263478	183252
1310	1264466	182291
1311	1265441	181328
1312	1266436	180368
1313	1267440	179409
1314	1268374	178440
1315	1269294	177469
1316	1270123	176486
1317	1271009	175511
1318	1271935	174541
1319	1272950	173584
1320	1273869	172613
1321	1274854	171652
1322	1275827	170688
1323	1276842	169731
1324	1277821	168768
1325	1278881	167817
1326	1279870	166855
1327	1280852	165893
1328	1281887	164938
1329	1282824	163970
1330	1283734	162998
1331	1284755	162041
1332	1285814	161088
1333	1286857	160133
1334	1287921	159181
1335	1288844	158211
1336	1289743	157238
1337	1290653	156267
1338	1291705	155313
1339	1292613	154341
1340	1293557	153374
1341	1294614	152421
1342	1295656	151465
1343	1296555	150493
1344	1297493	149525
1345	1298432	148557
1346	1299507	147605
1347	1300481	146641
1348	1301414	145673
1349	1302381	144709
1350	1303349	143744
1351	1304312	142779
1352	1305239	141810
1353	1306198	140845
1354	1307259	139891
1355	1308211	138925
1356	1309233	137966
1357	1310269	137008
1358	1311327	136053
1359	1312306	135090
1360	1313222	134120
